entity_id,type,unit,2025-09-16T22:00:00.000Z,2025-09-16T23:00:00.000Z,2025-09-17T00:00:00.000Z,2025-09-17T01:00:00.000Z,2025-09-17T02:00:00.000Z,2025-09-17T03:00:00.000Z,2025-09-17T04:00:00.000Z,2025-09-17T05:00:00.000Z,2025-09-17T06:00:00.000Z,2025-09-17T07:00:00.000Z,2025-09-17T08:00:00.000Z,2025-09-17T09:00:00.000Z,2025-09-17T10:00:00.000Z,2025-09-17T11:00:00.000Z,2025-09-17T12:00:00.000Z,2025-09-17T13:00:00.000Z,2025-09-17T14:00:00.000Z,2025-09-17T15:00:00.000Z,2025-09-17T16:00:00.000Z,2025-09-17T17:00:00.000Z,2025-09-17T18:00:00.000Z,2025-09-17T19:00:00.000Z,2025-09-17T20:00:00.000Z,2025-09-17T21:00:00.000Z
sensor.netznutzung_kwh,grid_consumption,kWh,0.1500000000014552,0.19999999999708962,0.18000000000029104,1.2000000000007276,0.17000000000189175,0.19999999999708962,0.17000000000189175,0.1500000000014552,0.11999999999898137,0,0,0,0,0,0,0,1.7000000000007276,0.13999999999941792,0.23999999999796273,0.2000000000007276,0.930000000000291,0.47999999999956344,0.2900000000008731,0.18999999999869033
sensor.netznutzung_kwh_cost,grid_consumption_cost,CHF,0.03518999999778316,0.046920000000682194,0.04222799999934068,0.2815200000004552,0.03988200000003417,0.046920000000682194,0.03988200000003417,0.042974999999387364,0.034379999999146094,0,0,0,0,0,0,0,0.4870499999997264,0.04010999999991327,0.06875999999920168,0.05729999999857682,0.21817799999917042,0.11260800000036397,0.06803400000171678,0.04457399999955669
sensor.netzeinspeisung_kwh,grid_return,kWh,0,0,0,0,0,0,0,0.32999999999992724,1.2799999999988358,4.800000000001091,7.959999999999127,6.970000000001164,9.929999999998472,13.280000000000655,7.309999999999491,5.040000000000873,0.6900000000005093,0.20999999999912689,0.1000000000003638,0,0,0,0,0
sensor.netzeinspeisung_kwh_compensation,grid_return_compensation,CHF,0,0,0,0,0,0,0,0.03761999999892396,0.14592000000038752,0.5471999999999753,0.9074399999999514,0.7945799999999963,1.1320199999991019,1.5139200000000983,0.8333399999999074,0.5745599999995648,0.07866000000012718,0.023939999999129213,0.011400000000321597,0,0,0,0,0
sensor.sma_st_80_pv_gen_meter,solar_production,kWh,0,0,0,0,0,0,0,0.16300000000046566,0.9459999999999127,3.9029999999984284,4.951000000000931,3.528999999998632,4.8840000000018335,5.811999999998079,3.1850000000013097,3.1559999999990396,1.4250000000029104,0.3040000000000873,0.17599999999947613,0.0319999999992433,0,0,0,0
sensor.sungrow_sg12rt_total_yield,solar_production,kWh,0,0,0,0,0,0,0,0,2,1,5,6,7,9,7,3,1,1,0,0,0,0,0,0
sensor.ladeschalterpassat_switch_0_energy,device_consumption,kWh,0.00102100000003702,0.0010260000000243963,0.00102799999990566,0.0010220000000344953,0.0010200000000395448,0.001019999999925858,0.0010160000000496439,0.0010180000000445943,0.001019999999925858,0.0010270000000218715,0.001040999999986525,0.0010359999999991487,0.0010389999999915744,0.0010300000000142973,0.0010270000000218715,0.001029000000016822,0.0010270000000218715,0.0010269999999081847,0.001017000000047119,0.0010200000000395448,0.0010189999999283827,0.001029000000016822,0.0010320000000092477,0.0010220000000344953
sensor.tesla_verbrauch,device_consumption,kWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sensor.heizung_verbrauch_kwh,device_consumption,kWh,0,0,0,1.139999999999418,0,0,0,0.06000000000130967,0.6299999999991996,0.1000000000003638,1.109999999998763,1.8400000000001455,1.9099999999998545,0.8500000000003638,0.930000000000291,0.8800000000010186,2.889999999999418,0.15999999999985448,0.31999999999970896,0.010000000000218279,0.18000000000029104,0,0,0
