entity_id,type,unit,2025-09-14T22:00:00.000Z,2025-09-14T23:00:00.000Z,2025-09-15T00:00:00.000Z,2025-09-15T01:00:00.000Z,2025-09-15T02:00:00.000Z,2025-09-15T03:00:00.000Z,2025-09-15T04:00:00.000Z,2025-09-15T05:00:00.000Z,2025-09-15T06:00:00.000Z,2025-09-15T07:00:00.000Z,2025-09-15T08:00:00.000Z,2025-09-15T09:00:00.000Z,2025-09-15T10:00:00.000Z,2025-09-15T11:00:00.000Z,2025-09-15T12:00:00.000Z,2025-09-15T13:00:00.000Z,2025-09-15T14:00:00.000Z,2025-09-15T15:00:00.000Z,2025-09-15T16:00:00.000Z,2025-09-15T17:00:00.000Z,2025-09-15T18:00:00.000Z,2025-09-15T19:00:00.000Z,2025-09-15T20:00:00.000Z,2025-09-15T21:00:00.000Z
sensor.netznutzung_kwh,grid_consumption,kWh,0.5099999999983993,0.5,0.4099999999998545,0.4099999999998545,0.42000000000189175,0.47000000000116415,0.5599999999976717,0.4400000000023283,1.2899999999972351,0,0,0,0,0,0,0,0.040000000000873115,0.25,1.5,0.9900000000016007,0.8600000000005821,0.5199999999967986,0.47000000000116415,0.20999999999912689
sensor.netznutzung_kwh_cost,grid_consumption_cost,CHF,0.11964599999919301,0.1172999999998865,0.09618599999885191,0.0961859999997614,0.09853199999997742,0.11026199999923847,0.13137600000118255,0.1260599999995975,0.3695849999976417,0,0,0,0,0,0,0,0.011459999999715365,0.07162499999958527,0.4297499999984211,0.28363500000159547,0.20175600000038685,0.12199199999940902,0.11026200000014796,0.04926599999998871
sensor.netzeinspeisung_kwh,grid_return,kWh,0,0,0,0,0,0,0,0,1.1499999999996362,5.020000000000437,8.170000000000073,11.079999999999927,8.209999999999127,15.950000000000728,13.670000000000073,6.43999999999869,0.8400000000001455,0.7800000000006548,0.05999999999949068,0,0,0,0,0
sensor.netzeinspeisung_kwh_compensation,grid_return_compensation,CHF,0,0,0,0,0,0,0,0,0.13109999999983302,0.572280000000319,0.9313800000002175,1.2631199999998444,0.935939999998709,1.8182999999994536,1.5583799999997154,0.7341599999988375,0.0957600000003822,0.0889199999999164,0.0068400000000110595,0,0,0,0,0
sensor.sma_st_80_pv_gen_meter,solar_production,kWh,0,0,0,0,0,0,0,0.06799999999930151,1.434000000001106,4.154999999998836,5.257000000001426,5.754000000000815,3.6669999999976426,6.199000000000524,5.566000000002532,4.061999999998079,1.4459999999999127,0.4150000000008731,0.2249999999985448,0.031000000002677552,0,0,0,0
sensor.sungrow_sg12rt_total_yield,solar_production,kWh,0,0,0,0,0,0,0,0,0,2,4,7,6,11,11,5,2,1,0,0,0,0,0,0
sensor.ladeschalterpassat_switch_0_energy,device_consumption,kWh,0.0010379999999940992,0.0010359999999991487,0.0010410000001002118,0.0010419999999840002,0.001040999999986525,0.0010320000000092477,0.001036999999996624,0.0010389999999915744,0.0011389999999664724,0.0010520000000724394,0.0010599999999385545,0.0010570000000598156,0.0010519999999587526,0.0010899999999764987,0.7939720000000534,1.8222549999999273,0.6295440000000099,0.0010849999999891224,0.0010230000000319706,0.0010270000000218715,0.001029000000016822,0.0010269999999081847,0.0010240000000294458,0.0010300000000142973
sensor.tesla_verbrauch,device_consumption,kWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sensor.heizung_verbrauch_kwh,device_consumption,kWh,0,0,0,0,0,0,0,0,1.6599999999998545,0,0.8499999999985448,0.7100000000009459,0.819999999999709,0.7100000000009459,0.6999999999989086,0.8099999999994907,0.7000000000007276,0.2999999999992724,1.070000000001528,0.17999999999847205,0,0,0,0
