entity_id,type,unit,2025-09-24T22:00:00.000Z,2025-09-24T23:00:00.000Z,2025-09-25T00:00:00.000Z,2025-09-25T01:00:00.000Z,2025-09-25T02:00:00.000Z,2025-09-25T03:00:00.000Z,2025-09-25T04:00:00.000Z,2025-09-25T05:00:00.000Z,2025-09-25T06:00:00.000Z,2025-09-25T07:00:00.000Z,2025-09-25T08:00:00.000Z,2025-09-25T09:00:00.000Z,2025-09-25T10:00:00.000Z,2025-09-25T11:00:00.000Z,2025-09-25T12:00:00.000Z,2025-09-25T13:00:00.000Z,2025-09-25T14:00:00.000Z,2025-09-25T15:00:00.000Z,2025-09-25T16:00:00.000Z,2025-09-25T17:00:00.000Z,2025-09-25T18:00:00.000Z,2025-09-25T19:00:00.000Z,2025-09-25T20:00:00.000Z,2025-09-25T21:00:00.000Z
sensor.netznutzung_kwh,grid_consumption,kWh,0.15999999999985448,1.1199999999989814,0.5200000000004366,0.18000000000029104,0.16999999999825377,1.9600000000027649,1.069999999999709,0.23999999999796273,2.3100000000013097,0.4599999999991269,0,0,0.43000000000029104,0,0,0,1.569999999999709,0.9200000000018917,0.13999999999941792,0.8999999999978172,1.7800000000024738,0.20999999999912689,0.16999999999825377,0.3400000000001455
sensor.netznutzung_kwh_cost,grid_consumption_cost,CHF,0.037535999998908665,0.2627519999987271,0.12199200000031851,0.042228000000250177,0.03988199999912467,0.45981599999959144,0.25102200000219455,0.06875999999738269,0.6618149999994785,0.13178999999945518,0,0,0.1231950000010329,0,0,0,0.44980500000110624,0.26358000000072934,0.04010999999991327,0.25785000000087166,0.41758800000116025,0.0492660000018077,0.03988199999912467,0.07976399999824935
sensor.netzeinspeisung_kwh,grid_return,kWh,0,0,0,0,0,0,0,0.010000000000218279,0,0.9499999999989086,3.9899999999997817,3.7300000000013824,1.569999999999709,8.199999999998909,6.380000000001019,3.069999999999709,0.12999999999919964,0.8500000000003638,0.5,0,0,0,0,0
sensor.netzeinspeisung_kwh_compensation,grid_return_compensation,CHF,0,0,0,0,0,0,0,0.0011400000000776345,0,0.10829999999896245,0.45485999999891646,0.42521999999894433,0.17897999999991043,0.934799999998404,0.7273199999992812,0.34997999999905005,0.014820000000099753,0.0968999999990956,0.05700000000001637,0,0,0,0,0
sensor.sma_st_80_pv_gen_meter,solar_production,kWh,0,0,0,0,0,0,0,0.027999999998428393,0.23800000000119326,0.6339999999981956,1.489000000001397,1.724000000001979,1.661999999996624,3.3280000000013388,2.190999999998894,1.419000000001688,0.4510000000009313,0.43699999999807915,0.2580000000016298,0.0020000000004074536,0,0,0,0
sensor.sungrow_sg12rt_total_yield,solar_production,kWh,0,0,0,0,0,0,0,0,0,2,3,3,4,6,5,3,1,1,1,0,0,0,0,0
sensor.ladeschalterpassat_switch_0_energy,device_consumption,kWh,0.0010070000000723667,0.0010059999999612046,0.0010180000000445943,0.0010209999999233332,0.0010190000000420696,0.0010140000000546934,0.0010149999999384818,0.0010150000000521686,0.0010149999999384818,0.00102100000003702,0.001025000000026921,0.9937400000000025,1.7989879999998948,0.8394170000000258,0.001040999999986525,0.0010350000000016735,0.0010800000000017462,0.0010130000000572181,0.0010139999999410065,0.00102100000003702,0.0010240000000294458,0.0010270000000218715,0.00102799999990566,0.0010260000000243963
sensor.tesla_verbrauch,device_consumption,kWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sensor.heizung_verbrauch_kwh,device_consumption,kWh,0,1.0599999999994907,0.3500000000003638,0,0,1.640000000001237,0.7599999999983993,0,2.540000000000873,0.46999999999934516,0.13000000000101863,0.07999999999992724,1.4499999999989086,0.12000000000080036,0,0.12999999999919964,1.5400000000008731,0.9899999999997817,0,0.27000000000043656,1.3500000000003638,0,0,0.23999999999978172
