entity_id,type,unit,2025-09-05T22:00:00.000Z,2025-09-05T23:00:00.000Z,2025-09-06T00:00:00.000Z,2025-09-06T01:00:00.000Z,2025-09-06T02:00:00.000Z,2025-09-06T03:00:00.000Z,2025-09-06T04:00:00.000Z,2025-09-06T05:00:00.000Z,2025-09-06T06:00:00.000Z,2025-09-06T07:00:00.000Z,2025-09-06T08:00:00.000Z,2025-09-06T09:00:00.000Z,2025-09-06T10:00:00.000Z,2025-09-06T11:00:00.000Z,2025-09-06T12:00:00.000Z,2025-09-06T13:00:00.000Z,2025-09-06T14:00:00.000Z,2025-09-06T15:00:00.000Z,2025-09-06T16:00:00.000Z,2025-09-06T17:00:00.000Z,2025-09-06T18:00:00.000Z,2025-09-06T19:00:00.000Z,2025-09-06T20:00:00.000Z,2025-09-06T21:00:00.000Z
sensor.netznutzung_kwh,grid_consumption,kWh,0.16999999999825377,0.17000000000189175,0.18000000000029104,0.18999999999869033,1.4000000000014552,0.17999999999665306,0.21000000000276486,0.9599999999991269,0.040000000000873115,0,0,0,0,0,0,0,0,0.00999999999839929,0.020000000000436557,0.00999999999839929,0.5200000000004366,0.5900000000001455,0.5400000000008731,0.3400000000001455
sensor.netznutzung_kwh_cost,grid_consumption_cost,CHF,0.03988199999821518,0.03988199999912467,0.042228000000250177,0.044573999998647196,0.3284400000002279,0.04222799999934068,0.0492660000018077,0.2750399999995352,0.011459999999715365,0,0,0,0,0,0,0,0,0.002345999999306514,0.0046919999995225226,0.002345999999306514,0.1219920000021375,0.13841400000183057,0.12668400000075053,0.07976400000006834
sensor.netzeinspeisung_kwh,grid_return,kWh,0,0,0,0,0,0,0,0.2900000000008731,1.9899999999997817,6.6599999999998545,8.039999999999054,11.360000000000582,6.430000000000291,10.569999999999709,12.960000000000946,9.239999999999782,3,1.2399999999997817,0.8799999999991996,0.47999999999956344,0,0,0,0
sensor.netzeinspeisung_kwh_compensation,grid_return_compensation,CHF,0,0,0,0,0,0,0,0.03305999999997766,0.22686000000021522,0.7592400000003181,0.9165600000001177,1.2950399999997444,0.7330200000005789,1.2049799999999777,1.477440000000115,1.053360000000339,0.34200000000078035,0.14136000000053173,0.10032000000001062,0.05472000000031585,0,0,0,0
sensor.sma_st_80_pv_gen_meter,solar_production,kWh,0,0,0,0,0,0,0,0.14600000000064028,1.3290000000015425,4.623999999999796,5.293000000001484,6.330999999998312,6.238000000001193,6.150999999998021,5.548999999999069,4.538000000000466,2.261000000002241,0.5469999999986612,0.40499999999883585,0.15100000000165892,0,0,0,0
sensor.sungrow_sg12rt_total_yield,solar_production,kWh,0,0,0,0,0,0,0,0,1,4,5,7,9,10,11,7,2,1,1,1,0,0,0,0
sensor.ladeschalterpassat_switch_0_energy,device_consumption,kWh,0.0010260000000243963,0.001017000000047119,0.0010219999999208085,0.0010230000000319706,0.00102100000003702,0.0010169999999334323,0.00102100000003702,0.0010190000000420696,0.0010280000000193468,0.0010340000000041982,0.0010389999999915744,0.0008119999999962602,0.0001790000000028158,0.0010419999999840002,0.0010419999999840002,0.001036999999996624,0.0010359999999991487,0.0010300000000142973,0.0010260000000243963,0.0010229999999182837,0.001025000000026921,0.0010280000000193468,0.0010270000000218715,0.001025000000026921
sensor.tesla_verbrauch,device_consumption,kWh,0,0,0,0,0,0,0,0,0,0,0,1.550000000000182,4.889999999999873,0.09000000000014552,2.400000000000091,1.6399999999998727,0,0,0,0,0,0,0,0
sensor.heizung_verbrauch_kwh,device_consumption,kWh,0,0,0,0,1.3099999999994907,0,0,0.9400000000005093,0.5200000000004366,1.0599999999994907,2,0.8099999999994907,2.6300000000010186,4.569999999999709,0.819999999999709,0.7100000000009459,0.7999999999992724,0.2900000000008731,0.42000000000007276,0,0,0,0,0.07999999999992724
