entity_id,type,unit,2025-09-30T22:00:00.000Z,2025-09-30T23:00:00.000Z,2025-10-01T00:00:00.000Z,2025-10-01T01:00:00.000Z,2025-10-01T02:00:00.000Z,2025-10-01T03:00:00.000Z,2025-10-01T04:00:00.000Z,2025-10-01T05:00:00.000Z,2025-10-01T06:00:00.000Z,2025-10-01T07:00:00.000Z,2025-10-01T08:00:00.000Z,2025-10-01T09:00:00.000Z,2025-10-01T10:00:00.000Z,2025-10-01T11:00:00.000Z,2025-10-01T12:00:00.000Z,2025-10-01T13:00:00.000Z,2025-10-01T14:00:00.000Z,2025-10-01T15:00:00.000Z,2025-10-01T16:00:00.000Z,2025-10-01T17:00:00.000Z,2025-10-01T18:00:00.000Z,2025-10-01T19:00:00.000Z,2025-10-01T20:00:00.000Z,2025-10-01T21:00:00.000Z
sensor.netznutzung_kwh,grid_consumption,kWh,0.31999999999970896,0.21999999999752617,1.5,0.15999999999985448,0.1500000000014552,0.15999999999985448,3.1599999999998545,0.33000000000174623,0.5199999999967986,0.27000000000043656,0.7400000000016007,0.040000000000873115,0,0,0.12999999999738066,0.5300000000024738,0.28999999999723514,0.3500000000021828,0.9199999999982538,0.47000000000116415,0.7000000000007276,0.6599999999998545,1.7700000000004366,0.20999999999912689
sensor.netznutzung_kwh_cost,grid_consumption_cost,CHF,0.07507199999963632,0.051612000002023706,0.351900000000569,0.037535999998908665,0.035189999998692656,0.037535999998908665,0.7413359999982276,0.094544999999016,0.14897999999902822,0.07735500000126194,0.2120100000011007,0.011459999999715365,0,0,0.03724499999952968,0.1518450000012308,0.08308499999839114,0.10027500000069267,0.26357999999800086,0.13465499999801978,0.1642199999987497,0.15483599999970465,0.41524200000094424,0.04926599999998871
sensor.netzeinspeisung_kwh,grid_return,kWh,0,0,0,0,0,0,0,0,0.12000000000080036,0.8500000000003638,0.9499999999989086,1.5600000000013097,9.599999999998545,8.44000000000051,6.770000000000437,1.2099999999991269,0.5900000000001455,0.5600000000013097,0.019999999998617568,0,0,0,0,0
sensor.netzeinspeisung_kwh_compensation,grid_return_compensation,CHF,0,0,0,0,0,0,0,0,0.013680000000022119,0.0969000000000051,0.10829999999873507,0.17784000000006017,1.0943999999992684,0.9621599999977661,0.7717799999998078,0.13793999999916196,0.06726000000003296,0.06384000000002743,0.002280000000155269,0,0,0,0,0
sensor.sma_st_80_pv_gen_meter,solar_production,kWh,0,0,0,0,0,0,0,0,0.10900000000037835,0.4969999999993888,0.6530000000020664,1.0750000000007276,4.048999999999069,3.279999999998836,4.076000000000931,1.9399999999986903,1.0020000000004075,0.34100000000034925,0.13300000000162981,0,0,0,0,0
sensor.sungrow_sg12rt_total_yield,solar_production,kWh,0,0,0,0,0,0,0,0,0,1,2,2,6,5,6,2,2,1,0,0,0,0,0,0
sensor.ladeschalterpassat_switch_0_energy,device_consumption,kWh,0.0010280000000193468,0.001029000000016822,0.001031999999895561,0.0010340000000041982,0.0010310000000117725,0.0010260000000243963,0.0010220000000344953,0.0010189999999283827,0.001134000000092783,0.0010350000000016735,0.0010340000000041982,0.001040999999986525,0.0010419999999840002,0.0010419999999840002,0.0010389999999915744,0.0011769999999842184,0.00102100000003702,0.0010149999999384818,0.0010150000000521686,0.0010129999999435313,0.001017000000047119,0.0010150000000521686,0.001015999999935957,0.0010190000000420696
sensor.tesla_verbrauch,device_consumption,kWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sensor.heizung_verbrauch_kwh,device_consumption,kWh,0,0,1.3699999999989814,0,0,0,2.640000000001237,0,0.46999999999934516,0.43000000000029104,1.1899999999986903,1.4600000000009459,0.11000000000058208,0,2.3400000000001455,3.4399999999986903,2.110000000000582,0,0.20999999999912689,0.13000000000101863,0.13999999999941792,0.040000000000873115,1.3400000000001455,0
