entity_id,type,unit,2025-09-25T22:00:00.000Z,2025-09-25T23:00:00.000Z,2025-09-26T00:00:00.000Z,2025-09-26T01:00:00.000Z,2025-09-26T02:00:00.000Z,2025-09-26T03:00:00.000Z,2025-09-26T04:00:00.000Z,2025-09-26T05:00:00.000Z,2025-09-26T06:00:00.000Z,2025-09-26T07:00:00.000Z,2025-09-26T08:00:00.000Z,2025-09-26T09:00:00.000Z,2025-09-26T10:00:00.000Z,2025-09-26T11:00:00.000Z,2025-09-26T12:00:00.000Z,2025-09-26T13:00:00.000Z,2025-09-26T14:00:00.000Z,2025-09-26T15:00:00.000Z,2025-09-26T16:00:00.000Z,2025-09-26T17:00:00.000Z,2025-09-26T18:00:00.000Z,2025-09-26T19:00:00.000Z,2025-09-26T20:00:00.000Z,2025-09-26T21:00:00.000Z
sensor.netznutzung_kwh,grid_consumption,kWh,1.3500000000021828,0.15999999999985448,0.16999999999825377,1.5,0.4900000000016007,0.7599999999983993,0.38000000000101863,1.6899999999986903,0.6300000000010186,0.029999999998835847,0.08000000000174623,0.020000000000436557,0.9399999999986903,0.11999999999898137,0.7800000000024738,0.36999999999898137,0,0,0.08000000000174623,1.8400000000001455,0.8699999999989814,0.6699999999982538,8.650000000001455,8.290000000000873
sensor.netznutzung_kwh_cost,grid_consumption_cost,CHF,0.31670999999914784,0.037535999998908665,0.03988199999912467,0.3518999999978405,0.11495400000148948,0.17829599999822676,0.08914800000002288,0.48418499999843334,0.1804950000005192,0.008594999999331776,0.022920000000340224,0.005729999999857682,0.26930999999967753,0.0343799999982366,0.22346999999990658,0.10600499999964086,0,0,0.022920000000340224,0.5271600000023682,0.20410199999878387,0.15718199999901117,2.029290000000401,1.9448340000008102
sensor.netzeinspeisung_kwh,grid_return,kWh,0,0,0,0,0,0,0,0,0.030000000000654836,0.07999999999992724,0.7199999999993452,2.2700000000004366,0.07999999999992724,0.22999999999956344,0.040000000000873115,0.6000000000003638,1.4599999999991269,0.32999999999992724,0.6399999999994179,0,0,0,0,0
sensor.netzeinspeisung_kwh_compensation,grid_return_compensation,CHF,0,0,0,0,0,0,0,0,0.0034200000002329034,0.009120000000166328,0.08208000000013271,0.2587799999989784,0.009120000000166328,0.026220000000193977,0.0045599999998557905,0.0684000000001106,0.16643999999996595,0.037619999998696585,0.07296000000019376,0,0,0,0,0
sensor.sma_st_80_pv_gen_meter,solar_production,kWh,0,0,,,,,,0,0.10399999999935972,0.13599999999860302,0.5540000000000873,1.4279999999998836,1.6790000000000873,2.305000000000291,1.52900000000227,0.9479999999966822,0.5510000000031141,0.19499999999970896,0.3239999999968859,0.007000000001426088,0,0,0,0
sensor.sungrow_sg12rt_total_yield,solar_production,kWh,0,0,0,0,0,0,0,0,0,0,2,3,3,5,3,2,2,0,1,0,0,0,0,0
sensor.ladeschalterpassat_switch_0_energy,device_consumption,kWh,0.0010110000000622676,0.0010149999999384818,0.0010140000000546934,0.001019999999925858,0.001025000000026921,0.0010190000000420696,0.001011999999946056,0.0010100000000647924,0.0010149999999384818,0.001017000000047119,0.001011999999946056,0.8139869999999974,1.8131270000000086,1.8170340000000351,1.5142190000000255,0.001262999999994463,0.0010189999999283827,0.0010190000000420696,0.0010140000000546934,0.0010139999999410065,0.0010230000000319706,0.0010300000000142973,0,0
sensor.tesla_verbrauch,device_consumption,kWh,0,0,0,0,0,0,0,0,0,0,0,0,3.0399999999999636,4.7599999999997635,2.7200000000002547,0,0,0,0,0,0,0,6.989999999999782,7
sensor.heizung_verbrauch_kwh,device_consumption,kWh,1.1599999999998545,0,0,1.3699999999989814,0.3000000000010914,0.6099999999987631,0,1.3500000000003638,0.5799999999999272,0,0.7000000000007276,0.8600000000005821,0.12999999999919964,0,0.930000000000291,2.5200000000004366,0.09999999999854481,0.030000000000654836,0.1000000000003638,1.4200000000000728,0.4099999999998545,0,0.5499999999992724,0.8400000000001455
