entity_id,type,unit,2025-09-15T22:00:00.000Z,2025-09-15T23:00:00.000Z,2025-09-16T00:00:00.000Z,2025-09-16T01:00:00.000Z,2025-09-16T02:00:00.000Z,2025-09-16T03:00:00.000Z,2025-09-16T04:00:00.000Z,2025-09-16T05:00:00.000Z,2025-09-16T06:00:00.000Z,2025-09-16T07:00:00.000Z,2025-09-16T08:00:00.000Z,2025-09-16T09:00:00.000Z,2025-09-16T10:00:00.000Z,2025-09-16T11:00:00.000Z,2025-09-16T12:00:00.000Z,2025-09-16T13:00:00.000Z,2025-09-16T14:00:00.000Z,2025-09-16T15:00:00.000Z,2025-09-16T16:00:00.000Z,2025-09-16T17:00:00.000Z,2025-09-16T18:00:00.000Z,2025-09-16T19:00:00.000Z,2025-09-16T20:00:00.000Z,2025-09-16T21:00:00.000Z
sensor.netznutzung_kwh,grid_consumption,kWh,0.17000000000189175,0.15999999999985448,0.18000000000029104,0.15999999999985448,0.38000000000101863,1.4199999999982538,0.2599999999983993,0.07000000000334694,0.11999999999898137,0,0,0,0,0,0,0,0,0,0.09999999999854481,1.1199999999989814,0.8700000000026193,0.5900000000001455,0.680000000000291,0.5099999999983993
sensor.netznutzung_kwh_cost,grid_consumption_cost,CHF,0.03988199999912467,0.037535999998908665,0.042228000000250177,0.037535999998908665,0.08914799999911338,0.3331320000015694,0.06099600000106875,0.020054999999956635,0.034379999999146094,0,0,0,0,0,0,0,0,0,0.028650000000197906,0.32088000000021566,0.20410200000151235,0.13841400000092108,0.15952799999922718,0.119646000001012
sensor.netzeinspeisung_kwh,grid_return,kWh,0,0,0,0,0,0,0,0.27000000000043656,1.2199999999993452,4.680000000000291,8.399999999999636,10.730000000001382,10.899999999999636,13.1299999999992,10.989999999999782,7.280000000000655,3.360000000000582,2.8799999999991996,0.6200000000008004,0,0,0,0,0
sensor.netzeinspeisung_kwh_compensation,grid_return_compensation,CHF,0,0,0,0,0,0,0,0.030780000000049768,0.13907999999969434,0.533519999999271,0.9575999999983651,1.2232199999996283,1.2425999999993564,1.4968199999987064,1.252859999998691,0.829919999998765,0.38303999999970983,0.3283200000000761,0.07068000000003849,0,0,0,0,0
sensor.sma_st_80_pv_gen_meter,solar_production,kWh,0,0,0,0,0,0,0,0.12599999999656575,0.7910000000010768,2.5600000000013097,4.436999999998079,5.618000000002212,5.026999999998225,5.572000000000116,4.525000000001455,4.029999999998836,2.220000000001164,1.0570000000006985,0.3919999999998254,0.02899999999863212,0,0,0,0
sensor.sungrow_sg12rt_total_yield,solar_production,kWh,0,0,0,0,0,0,0,0,2,3,5,7,7,10,8,5,5,2,1,0,0,0,0,0
sensor.ladeschalterpassat_switch_0_energy,device_consumption,kWh,0.0010240000000294458,0.0010270000000218715,0.0010269999999081847,0.0010320000000092477,0.0010270000000218715,0.0010150000000521686,0.0010189999999283827,0.0010190000000420696,0.0010200000000395448,0.0010289999999031352,0.0010280000000193468,0.0010350000000016735,0.0010419999999840002,0.0010379999999940992,0.3254700000001094,0.5373769999999922,1.458748999999898,0.001042000000097687,0.0010770000000093205,0.001019999999925858,0.0010220000000344953,0.0010320000000092477,0.0010230000000319706,0.001019999999925858
sensor.tesla_verbrauch,device_consumption,kWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sensor.heizung_verbrauch_kwh,device_consumption,kWh,0,0,0,0,0.2400000000016007,1.1199999999989814,0,0,0.5799999999999272,0.030000000000654836,0.819999999999709,0.7000000000007276,0.819999999999709,1.1700000000000728,0.8799999999991996,1.3000000000010914,1.2399999999997817,0,0.17000000000007276,0,0.13999999999941792,0,0,0
