entity_id,type,unit,2025-09-28T22:00:00.000Z,2025-09-28T23:00:00.000Z,2025-09-29T00:00:00.000Z,2025-09-29T01:00:00.000Z,2025-09-29T02:00:00.000Z,2025-09-29T03:00:00.000Z,2025-09-29T04:00:00.000Z,2025-09-29T05:00:00.000Z,2025-09-29T06:00:00.000Z,2025-09-29T07:00:00.000Z,2025-09-29T08:00:00.000Z,2025-09-29T09:00:00.000Z,2025-09-29T10:00:00.000Z,2025-09-29T11:00:00.000Z,2025-09-29T12:00:00.000Z,2025-09-29T13:00:00.000Z,2025-09-29T14:00:00.000Z,2025-09-29T15:00:00.000Z,2025-09-29T16:00:00.000Z,2025-09-29T17:00:00.000Z,2025-09-29T18:00:00.000Z,2025-09-29T19:00:00.000Z,2025-09-29T20:00:00.000Z,2025-09-29T21:00:00.000Z
sensor.netznutzung_kwh,grid_consumption,kWh,0.20999999999912689,1.110000000000582,0.5299999999988358,0.15999999999985448,0.17000000000189175,0.20999999999912689,2.9500000000007276,0.25,0.6299999999973807,0,0,0,0,0.2400000000016007,0,0,0.6899999999986903,1.2099999999991269,2,0.8100000000013097,1.2999999999992724,1.9400000000023283,0.4699999999975262,0.4500000000007276
sensor.netznutzung_kwh_cost,grid_consumption_cost,CHF,0.0492660000008982,0.2604060000003301,0.12433799999871553,0.037535999998908665,0.03988200000003417,0.0492660000018077,0.6920700000000579,0.07162499999776628,0.18049499999779073,0,0,0,0,0.06876000000102067,0,0,0.19768500000191125,0.346664999998211,0.5730000000003201,0.23206500000196684,0.3049800000007963,0.4551240000009784,0.11026200000014796,0.10556999999971595
sensor.netzeinspeisung_kwh,grid_return,kWh,0,0,0,0,0,0,0,0.039999999999054126,0.12000000000080036,2.9899999999997817,3.790000000000873,6.170000000000073,2.4099999999998545,7.729999999999563,8.229999999999563,6.170000000000073,0.050000000001091394,0,0,0,0,0,0,0
sensor.netzeinspeisung_kwh_compensation,grid_return_compensation,CHF,0,0,0,0,0,0,0,0.004560000000083164,0.013680000000022119,0.3408599999991111,0.43205999999941014,0.7033799999992425,0.274739999998701,0.8812199999988479,0.9382199999990917,0.7033799999987878,0.005700000000160799,0,0,0,0,0,0,0
sensor.sma_st_80_pv_gen_meter,solar_production,kWh,0,0,0,0,0,0,0,0.04500000000189175,0.4830000000001746,1.4209999999984575,2.441999999999098,3.084000000002561,1.7819999999992433,4.337999999999738,4.768000000000029,3.425999999999476,0.7700000000004366,0.34500000000116415,0.15099999999802094,0.0030000000006111804,0,0,0,0
sensor.sungrow_sg12rt_total_yield,solar_production,kWh,0,0,0,0,0,0,0,0,0,3,3,4,3,7,6,4,1,1,0,0,0,0,0,0
sensor.ladeschalterpassat_switch_0_energy,device_consumption,kWh,0.001033000000006723,0.0010280000000193468,0.0010340000000041982,0.001036999999996624,0.001033000000006723,0.0010260000000243963,0.0010189999999283827,0.0010230000000319706,0.0011399999999639476,0.0010410000001002118,0.001044999999976426,0.7180489999999509,1.6858680000000277,0.0011889999999539214,0.0010320000000092477,0.18281400000000758,1.803719000000001,1.7988900000000285,1.7842930000000479,0.0010649999999259308,0.0010340000000041982,0.0010320000000092477,0.001036999999996624,0.0010359999999991487
sensor.tesla_verbrauch,device_consumption,kWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sensor.heizung_verbrauch_kwh,device_consumption,kWh,0,0.9599999999991269,0.42000000000007276,0,0,0,2.540000000000873,0,1.5399999999990541,0.11000000000058208,1.4799999999995634,0.010000000000218279,0.11000000000058208,2.8399999999983265,2,0.12000000000080036,0,0.12000000000080036,0,0.12999999999919964,0.12999999999919964,1.3400000000001455,0,0
