entity_id,type,unit,2025-09-23T22:00:00.000Z,2025-09-23T23:00:00.000Z,2025-09-24T00:00:00.000Z,2025-09-24T01:00:00.000Z,2025-09-24T02:00:00.000Z,2025-09-24T03:00:00.000Z,2025-09-24T04:00:00.000Z,2025-09-24T05:00:00.000Z,2025-09-24T06:00:00.000Z,2025-09-24T07:00:00.000Z,2025-09-24T08:00:00.000Z,2025-09-24T09:00:00.000Z,2025-09-24T10:00:00.000Z,2025-09-24T11:00:00.000Z,2025-09-24T12:00:00.000Z,2025-09-24T13:00:00.000Z,2025-09-24T14:00:00.000Z,2025-09-24T15:00:00.000Z,2025-09-24T16:00:00.000Z,2025-09-24T17:00:00.000Z,2025-09-24T18:00:00.000Z,2025-09-24T19:00:00.000Z,2025-09-24T20:00:00.000Z,2025-09-24T21:00:00.000Z
sensor.netznutzung_kwh,grid_consumption,kWh,1.609999999996944,0.18000000000029104,1.180000000000291,0.2400000000016007,1.4799999999995634,0.1499999999978172,0.4400000000023283,0.7099999999991269,1.7200000000011642,0.029999999998835847,0.010000000002037268,0.1499999999978172,0.9700000000011642,0.15999999999985448,0.00999999999839929,0.6000000000021828,0.3099999999976717,1.3700000000026193,1.7999999999992724,1.139999999999418,0.4599999999991269,1.610000000000582,1.430000000000291,0.2000000000007276
sensor.netznutzung_kwh_cost,grid_consumption_cost,CHF,0.3777060000002166,0.042228000000250177,0.27682799999911367,0.05630400000245572,0.34720800000104646,0.03518999999778316,0.10322400000131893,0.20341499999722146,0.4927799999995841,0.008594999999331776,0.0028650000003835885,0.04297499999847787,0.2779049999999188,0.04583999999977095,0.002864999999474094,0.17189999999845895,0.08881499999733933,0.3925050000016199,0.5156999999999243,0.32661000000098284,0.10791599999993196,0.3777060000002166,0.3354780000008759,0.046920000000682194
sensor.netzeinspeisung_kwh,grid_return,kWh,0,0,0,0,0,0,0,0,0.18000000000029104,0.3600000000005821,1.2399999999997817,1.5,0.9699999999993452,1.7000000000007276,2.1900000000005093,0.8500000000003638,0.23999999999978172,0.07999999999992724,0.07999999999992724,0,0,0,0,0
sensor.netzeinspeisung_kwh_compensation,grid_return_compensation,CHF,0,0,0,0,0,0,0,0,0.02052000000003318,0.04103999999983898,0.14135999999916748,0.17099999999982174,0.11057999999934509,0.1937999999997828,0.24965999999881205,0.09689999999977772,0.027359999999816864,0.009119999999938955,0.009119999999938955,0,0,0,0,0
sensor.sma_st_80_pv_gen_meter,solar_production,kWh,0,0,0,0,0,0,0,0.006999999997788109,0.17300000000250293,0.33799999999973807,0.6080000000001746,0.9689999999973224,0.6810000000004948,0.7540000000008149,0.8100000000013097,0.6279999999969732,0.5490000000027067,0.27699999999822467,0.16300000000046566,0.0020000000004074536,0,0,0,0
sensor.sungrow_sg12rt_total_yield,solar_production,kWh,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,2,1,0,1,0,0,0,0,0
sensor.ladeschalterpassat_switch_0_energy,device_consumption,kWh,0.0010350000000016735,0.001040999999986525,0.001036999999996624,0.0010389999999915744,0.0010310000000117725,0.0010320000000092477,0.0010219999999208085,0.00102100000003702,0.0011220000000093933,0.0011220000000093933,0.0010270000000218715,0.001029000000016822,0.0010340000000041982,0.0010310000000117725,0.0010359999999991487,0.0011589999999159772,1.549207000000024,1.5629810000000361,0.0010209999999233332,0.0010270000000218715,0.0010200000000395448,0.001011999999946056,0.0010190000000420696,0.0010089999999536303
sensor.tesla_verbrauch,device_consumption,kWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sensor.heizung_verbrauch_kwh,device_consumption,kWh,1.4200000000000728,0,0.9699999999993452,0.050000000001091394,1.2999999999992724,0,0.030000000000654836,0.4899999999997817,1.8499999999985448,0.13000000000101863,0,1.6199999999989814,1.0300000000006548,0,0.050000000001091394,1.3399999999983265,0,0.030000000000654836,1.3800000000010186,0.029999999998835847,0.010000000000218279,1.1900000000005093,1.1299999999991996,0
