entity_id,type,unit,2025-09-21T22:00:00.000Z,2025-09-21T23:00:00.000Z,2025-09-22T00:00:00.000Z,2025-09-22T01:00:00.000Z,2025-09-22T02:00:00.000Z,2025-09-22T03:00:00.000Z,2025-09-22T04:00:00.000Z,2025-09-22T05:00:00.000Z,2025-09-22T06:00:00.000Z,2025-09-22T07:00:00.000Z,2025-09-22T08:00:00.000Z,2025-09-22T09:00:00.000Z,2025-09-22T10:00:00.000Z,2025-09-22T11:00:00.000Z,2025-09-22T12:00:00.000Z,2025-09-22T13:00:00.000Z,2025-09-22T14:00:00.000Z,2025-09-22T15:00:00.000Z,2025-09-22T16:00:00.000Z,2025-09-22T17:00:00.000Z,2025-09-22T18:00:00.000Z,2025-09-22T19:00:00.000Z,2025-09-22T20:00:00.000Z,2025-09-22T21:00:00.000Z
sensor.netznutzung_kwh,grid_consumption,kWh,0.1499999999978172,0.2000000000007276,0.17000000000189175,0.16999999999825377,0.20999999999912689,0.13000000000101863,1.069999999999709,0.7600000000020373,0.7699999999967986,0.4000000000014552,0.3899999999994179,0.020000000000436557,0,0.1500000000014552,0.3099999999976717,0,1.360000000000582,1.4599999999991269,0.7700000000004366,1.0100000000020373,0.5499999999992724,0.3899999999994179,1.4500000000007276,0.16999999999825377
sensor.netznutzung_kwh_cost,grid_consumption_cost,CHF,0.03518999999778316,0.04692000000159169,0.03988200000094366,0.03988200000003417,0.0492660000018077,0.030497999997351144,0.25102200000037556,0.2177399999991394,0.2206049999967945,0.11459999999897263,0.11173499999858905,0.005729999999857682,0,0.04297500000029686,0.08881499999915832,0,0.38964000000032684,0.41828999999961525,0.22060500000043248,0.28936500000145315,0.12902999999914755,0.09149400000114838,0.34017000000039843,0.03988199999912467
sensor.netzeinspeisung_kwh,grid_return,kWh,0,0,0,0,0,0,0,0,0,0.11000000000058208,0.1499999999996362,2.0599999999994907,3.139999999999418,1.0200000000004366,0.75,0.6499999999996362,0.010000000000218279,0.06999999999970896,0.040000000000873115,0,0,0,0,0
sensor.netzeinspeisung_kwh_compensation,grid_return_compensation,CHF,0,0,0,0,0,0,0,0,0,0.012540000000171858,0.01710000000002765,0.23483999999984917,0.35795999999891137,0.11627999999905114,0.08550000000013824,0.0741000000002714,0.0011400000000776345,0.007980000000088694,0.004560000000083164,0,0,0,0,0
sensor.sma_st_80_pv_gen_meter,solar_production,kWh,0,0,0,0,0,0,0,0,0.055999999996856786,0.1959999999999127,0.5830000000023574,1.3669999999983702,1.4700000000011642,0.9500000000007276,0.7819999999992433,0.6110000000007858,0.2779999999984284,0.16300000000046566,0.13699999999880674,0.0020000000004074536,0,0,0,0
sensor.sungrow_sg12rt_total_yield,solar_production,kWh,0,0,0,0,0,0,0,0,0,1,1,3,3,2,2,1,1,1,0,0,0,0,0,0
sensor.ladeschalterpassat_switch_0_energy,device_consumption,kWh,0.001029000000016822,0.001023999999915759,0.0010280000000193468,0.0010340000000041982,0.0010270000000218715,0.00102100000003702,0.0010179999999309075,0.0010150000000521686,0.0010230000000319706,0.001023999999915759,0.0010260000000243963,0.0010300000000142973,0.0010310000000117725,0.001019999999925858,0.0010230000000319706,0.0010310000000117725,0.00102100000003702,0.0010139999999410065,0.0010120000000597429,0.0010109999999485808,0.0010180000000445943,0.001025000000026921,0.0010259999999107094,0.0010220000000344953
sensor.tesla_verbrauch,device_consumption,kWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sensor.heizung_verbrauch_kwh,device_consumption,kWh,0,0,0,0,0,0,0.7199999999993452,0.42000000000007276,0.4899999999997817,0.12999999999919964,1.1900000000005093,1.7399999999997817,0.8299999999999272,0.7000000000007276,0.819999999999709,0.7100000000009459,1.7199999999993452,1.2099999999991269,0.18000000000029104,0.11000000000058208,0,0,1.3099999999994907,0
