entity_id,type,unit,2025-10-02T22:00:00.000Z,2025-10-02T23:00:00.000Z,2025-10-03T00:00:00.000Z,2025-10-03T01:00:00.000Z,2025-10-03T02:00:00.000Z,2025-10-03T03:00:00.000Z,2025-10-03T04:00:00.000Z,2025-10-03T05:00:00.000Z,2025-10-03T06:00:00.000Z,2025-10-03T07:00:00.000Z,2025-10-03T08:00:00.000Z,2025-10-03T09:00:00.000Z,2025-10-03T10:00:00.000Z,2025-10-03T11:00:00.000Z,2025-10-03T12:00:00.000Z,2025-10-03T13:00:00.000Z,2025-10-03T14:00:00.000Z,2025-10-03T15:00:00.000Z,2025-10-03T16:00:00.000Z,2025-10-03T17:00:00.000Z,2025-10-03T18:00:00.000Z,2025-10-03T19:00:00.000Z,2025-10-03T20:00:00.000Z,2025-10-03T21:00:00.000Z
sensor.netznutzung_kwh,grid_consumption,kWh,0.18999999999869033,1.5099999999983993,0.17000000000189175,0.2999999999992724,2.540000000000873,0.20999999999912689,0.2000000000007276,1.4500000000007276,0.28999999999723514,0,0,0,0.2000000000007276,0.1900000000023283,0.32999999999810825,1.1599999999998545,1.9200000000018917,0.029999999998835847,0.47999999999956344,2.849999999998545,1.6700000000018917,0.5400000000008731,1.7000000000007276,0.3099999999976717
sensor.netznutzung_kwh_cost,grid_consumption_cost,CHF,0.044574000000466185,0.3542459999980565,0.03988200000003417,0.0703800000001138,0.595883999999387,0.0492660000008982,0.0469199999997727,0.41542500000014115,0.08308499999839114,0,0,0,0.05729999999948632,0.054435000000012224,0.0945449999981065,0.33234000000175,0.5500800000008894,0.008594999999331776,0.13752000000022235,0.8165250000001834,0.39178200000242214,0.12668399999984103,0.3988200000003417,0.0727260000012393
sensor.netzeinspeisung_kwh,grid_return,kWh,0,0,0,0,0,0,0,0.22999999999956344,1.569999999999709,3.5599999999994907,4.470000000001164,4.819999999999709,1.4799999999995634,0.3400000000001455,0.15999999999985448,0,0.12000000000080036,0.7899999999990541,0.06999999999970896,0,0,0,0,0
sensor.netzeinspeisung_kwh_compensation,grid_return_compensation,CHF,0,0,0,0,0,0,0,0.026219999999966603,0.17897999999900094,0.4058399999989888,0.5095799999992323,0.5494799999989937,0.16871999999898435,0.03876000000013846,0.018240000000332657,0,0.013680000000022119,0.09006000000022141,0.007980000000088694,0,0,0,0,0
sensor.sma_st_80_pv_gen_meter,solar_production,kWh,0,0,,,,,,0.14500000000043656,1.157999999999447,2.4350000000013097,2.106999999999971,2.264999999999418,2.2969999999986612,2.135999999998603,2.1270000000004075,1.327000000001135,1.0360000000000582,0.6219999999993888,0.19900000000052387,0,0,0,0,0
sensor.sungrow_sg12rt_total_yield,solar_production,kWh,0,0,0,0,0,0,0,0,2,2,4,4,5,4,5,3,2,1,1,0,0,0,0,0
sensor.ladeschalterpassat_switch_0_energy,device_consumption,kWh,0.0010180000000445943,0.0010109999999485808,0.0010110000000622676,0.0010059999999612046,0.0010029999999687789,0.0010110000000622676,0.0010069999999586798,0.0010140000000546934,0.001015999999935957,0.0010240000000294458,0.0010240000000294458,0.0010270000000218715,0.0010249999999132342,0.8353000000000748,1.2028450000000248,0.0010149999999384818,0.0010130000000572181,0.0010109999999485808,0.0010140000000546934,0.0010179999999309075,0.0010180000000445943,0.0010219999999208085,0.0010190000000420696,0.0010230000000319706
sensor.tesla_verbrauch,device_consumption,kWh,0,0,0,0,0,0,0,0,0,0,0,0,2.7899999999999636,4.769999999999982,4.130000000000109,2.950000000000273,1.2699999999999818,0,0,0,0,0,0,0
sensor.heizung_verbrauch_kwh,device_consumption,kWh,0,1.390000000001237,0,0.13999999999941792,2.319999999999709,0,0,1.389999999999418,0.5900000000001455,1.4899999999997817,0.8000000000010914,1.4699999999993452,2.3299999999999272,0.1400000000012369,0,1.2899999999990541,2.350000000000364,0,0.11000000000058208,0.6399999999994179,1.0200000000004366,0.049999999999272404,1.4599999999991269,0
