entity_id,type,unit,2024-03-20T23:00:00.000Z,2024-03-21T00:00:00.000Z,2024-03-21T01:00:00.000Z,2024-03-21T02:00:00.000Z,2024-03-21T03:00:00.000Z,2024-03-21T04:00:00.000Z,2024-03-21T05:00:00.000Z,2024-03-21T06:00:00.000Z,2024-03-21T07:00:00.000Z,2024-03-21T08:00:00.000Z,2024-03-21T09:00:00.000Z,2024-03-21T10:00:00.000Z,2024-03-21T11:00:00.000Z,2024-03-21T12:00:00.000Z,2024-03-21T13:00:00.000Z,2024-03-21T14:00:00.000Z,2024-03-21T15:00:00.000Z,2024-03-21T16:00:00.000Z,2024-03-21T17:00:00.000Z,2024-03-21T18:00:00.000Z,2024-03-21T19:00:00.000Z,2024-03-21T20:00:00.000Z,2024-03-21T21:00:00.000Z,2024-03-21T22:00:00.000Z
sensor.netznutzung_kwh,grid_consumption,kWh,0.17000000000007276,1.2000000000007276,0.15999999999985448,1.180000000000291,1.1999999999989086,0.5599999999994907,1.1300000000010186,0.13999999999941792,1.1700000000000728,0.05999999999949068,0.07999999999992724,0.3500000000003638,0,0.2000000000007276,0.23999999999978172,0.12000000000080036,0.9699999999993452,0,0.4499999999989086,2.390000000001237,0.8299999999999272,2.1599999999998545,2.7399999999997817,2.0799999999999272
sensor.netznutzung_kwh_cost,grid_consumption_cost,CHF,0.06315499999936947,0.44579999999950815,0.059439999999540305,0.4383699999984856,0.44579999999677966,0.20803999999952794,0.4197949999984303,0.06276200000093013,0.5245109999996203,0.026898000000528555,0.03586399999994683,0.1569050000007337,0,0.08966000000009444,0.10759200000074998,0.05379599999969287,0.4348510000013448,0,0.20173499999964406,1.0714370000009694,0.30834499999855325,0.8024399999994785,1.0179099999973005,0.7727199999962977
sensor.netzeinspeisung_kwh,grid_return,kWh,0,0,0,0,0,0,0,0,0,1.1599999999998545,2.5300000000002,3.2199999999998,5.129999999999654,4.220000000000027,3.6099999999999,0.6300000000003365,0.5399999999997362,0.4399999999998272,0.009999999999990905,0,0,0,0,0
sensor.netzeinspeisung_kwh_compensation,grid_return_compensation,CHF,0,0,0,0,0,0,0,0,0,0.18559999999979482,0.40479999999956817,0.5151999999994814,0.8207999999995366,0.6751999999998191,0.5775999999999328,0.10079999999993561,0.0863999999998839,0.07039999999986435,0.001599999999996271,0,0,0,0,0
sensor.sn_3012091531_pv_gen_meter,solar_production,kWh,0,0,0,0,0,0,0,0.008000000000038199,0.02800000000002001,0.2840000000001055,0.6399999999998727,0.6610000000000582,0.9149999999999636,1.1320000000000618,1.1330000000000382,0.6809999999998126,0.30500000000006366,0.18499999999994543,0.009999999999990905,0,0,0,0,0
sensor.sma_st_80_pv_gen_meter,solar_production,kWh,0,0,0,0,0,0,0.003000000000156433,0.12599999999997635,0.20499999999992724,1.5260000000000673,3.1119999999998527,3.2630000000001473,4.477999999999838,4.816000000000031,4.057999999999993,2.3079999999999927,0.9190000000000964,0.5389999999999873,0.057999999999992724,0,0,0,0,0
sensor.tesla_verbrauch,device_consumption,kWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sensor.heizung_verbrauch_kwh,device_consumption,kWh,0,1.0100000000002183,0,1,1.069999999999709,0.4099999999998545,0.9700000000002547,0,1.019999999999527,0.020000000000436557,0.32999999999992724,0.7700000000004366,0.009999999999308784,1.180000000000291,0.6499999999996362,0.6500000000005457,1.1499999999996362,0.020000000000436557,0.019999999999527063,1.0900000000001455,0.2600000000002183,1.699999999999818,0.5100000000002183,0
