entity_id,type,unit,2023-12-31T23:00:00.000Z,2024-01-31T23:00:00.000Z,2024-02-29T23:00:00.000Z,2024-03-31T22:00:00.000Z,2024-04-30T22:00:00.000Z,2024-05-31T22:00:00.000Z,2024-06-30T22:00:00.000Z,2024-07-31T22:00:00.000Z,2024-08-31T22:00:00.000Z,2024-09-30T22:00:00.000Z,2024-10-31T23:00:00.000Z,2024-11-30T23:00:00.000Z
sensor.netznutzung_kwh,grid_consumption,kWh,1645.2600000000002,927.7200000001149,884.8700000000499,629.8900000000012,400.35999999999876,344.4899999999998,220.70000000000073,264.25,468.4500000000007,756.0100000000002,1230.0099999999984,1521.7600000000002
sensor.netznutzung_kwh_cost,grid_consumption_cost,CHF,548.2007670001203,367.41737600013175,346.99070899977824,248.14301499878638,156.2693559988884,134.67536999941467,86.7186260002004,104.05482700018001,187.14584699988472,298.889211999659,488.8161809999301,607.1451280000556
sensor.netzeinspeisung_kwh,grid_return,kWh,43.38999999999692,173.23000000000002,365.1299999999958,539.2800000000002,840.7900000000066,822.94,900.7200000000407,741.8799999999992,388.28000000000065,229.09999999999945,86.02000000000044,56.05000000000018
sensor.netzeinspeisung_kwh_compensation,grid_return_compensation,CHF,6.942399999999438,27.716799999999736,58.420799999974804,86.28479999988497,134.52639999983813,131.67039999989538,144.11519999996324,118.70079999999223,62.124800000015625,36.65599999998153,13.763200000002143,8.97440000000222
sensor.sn_3012091531_pv_gen_meter,solar_production,kWh,23.86500000000001,76.38900000000012,145.28199999999993,206.41000000000008,281.88099999999986,292.0770000000002,336.59699999999975,281.90200000000004,156.4000000000001,79.30699999999979,38.44399999999996,23.23700000000008
sensor.sma_st_80_pv_gen_meter,solar_production,kWh,170.87700000000007,417.365,670.0570000000002,899.6619999999998,1113.9479999999994,1124.982,1307.5439999999999,1223.4340000000002,756.6640000000016,382.96999999999935,215.21199999999953,166.7440000000006
sensor.tesla_verbrauch,device_consumption,kWh,165.1300000000001,147.01999999999998,158.31999999999994,158.99,123.28999999999996,157.91000000000008,179.14999999999986,195.06000000000017,100.8599999999999,163.73000000000002,176.30000000000018,128.16999999999962
sensor.heizung_verbrauch_kwh,device_consumption,kWh,1067.4700000000003,667.1399999999994,659.8599999999997,583.3300000000008,361.4499999999998,263.5,223.1300000000001,243.3699999999999,344.7699999999995,421.34000000000015,756.1499999999996,1069.2600000000002
