entity_id,type,unit,2025-10-04T22:00:00.000Z,2025-10-04T23:00:00.000Z,2025-10-05T00:00:00.000Z,2025-10-05T01:00:00.000Z,2025-10-05T02:00:00.000Z,2025-10-05T03:00:00.000Z,2025-10-05T04:00:00.000Z,2025-10-05T05:00:00.000Z,2025-10-05T06:00:00.000Z,2025-10-05T07:00:00.000Z,2025-10-05T08:00:00.000Z,2025-10-05T09:00:00.000Z,2025-10-05T10:00:00.000Z,2025-10-05T11:00:00.000Z,2025-10-05T12:00:00.000Z,2025-10-05T13:00:00.000Z,2025-10-05T14:00:00.000Z,2025-10-05T15:00:00.000Z,2025-10-05T16:00:00.000Z,2025-10-05T17:00:00.000Z,2025-10-05T18:00:00.000Z,2025-10-05T19:00:00.000Z,2025-10-05T20:00:00.000Z,2025-10-05T21:00:00.000Z
sensor.netznutzung_kwh,grid_consumption,kWh,0.2400000000016007,1.5499999999992724,0.22999999999956344,0.2000000000007276,0.1499999999978172,1.4700000000011642,0.22000000000116415,0.23999999999796273,0.5500000000029104,0.6199999999989814,0.23999999999796273,0,0.2800000000024738,0.9099999999998545,0.18999999999869033,0.11000000000058208,0.5,0.7299999999995634,2.819999999999709,3.6199999999989814,2.350000000002183,1.5099999999983993,1.2100000000027649,0.28999999999723514
sensor.netznutzung_kwh_cost,grid_consumption_cost,CHF,0.05630400000336522,0.363630000001649,0.053958000002239714,0.04692000000341068,0.03519000000324013,0.34486200000264944,0.051612000003842695,0.05630400000245572,0.12903000000187603,0.1454520000006596,0.05630399999972724,0,0.06568800000059127,0.2134859999996479,0.04457399999955669,0.025806000000557106,0.11730000000079599,0.17125799999939773,0.6615719999999783,0.8492519999999786,0.5513099999989208,0.3542459999980565,0.2838660000006712,0.06803399999898829
sensor.netzeinspeisung_kwh,grid_return,kWh,0,0,0,0,0,0,0,0,0.25,1.3799999999991996,2.639999999999418,3.540000000000873,3.069999999999709,0.5599999999994907,2.930000000000291,1.2100000000009459,0.8499999999985448,0.7400000000016007,0,0,0,0,0,0
sensor.netzeinspeisung_kwh_compensation,grid_return_compensation,CHF,0,0,0,0,0,0,0,0,0.0284999999998945,0.15731999999889013,0.30096000000003187,0.4035599999990609,0.34997999999905005,0.06383999999911794,0.3340200000002369,0.13793999999916196,0.09690000000023247,0.08436000000028798,0,0,0,0,0,0
sensor.sma_st_80_pv_gen_meter,solar_production,kWh,0,0,0,0,0,0,0,0,0.15500000000247383,1.9269999999996799,1.4619999999995343,1.4459999999999127,2.032999999999447,1.1610000000000582,1.9099999999998545,0.9429999999993015,0.7760000000016589,0.4510000000009313,0.08599999999933061,0,0,0,0,0
sensor.sungrow_sg12rt_total_yield,solar_production,kWh,0,0,0,0,0,0,0,0,1,2,3,2,4,2,4,2,2,1,0,0,0,0,0,0
sensor.ladeschalterpassat_switch_0_energy,device_consumption,kWh,0.0010220000000344953,0.001023999999915759,0.0010280000000193468,0.0010240000000294458,0.0010260000000243963,0.0010179999999309075,0.0010130000000572181,0.0010099999999511056,0.0010060000000748914,0.3940910000000031,0.6082079999999905,0.017057999999906315,1.7932000000000698,1.8093149999999696,1.8011020000000144,0.5872719999999845,0.001196000000049935,0.577707999999916,1.7856070000000273,1.789668000000006,0.6833540000000085,0.001029000000016822,0.001029000000016822,0.001029000000016822
sensor.tesla_verbrauch,device_consumption,kWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sensor.heizung_verbrauch_kwh,device_consumption,kWh,0,1.359999999998763,0,0,0,1.3500000000003638,0,0,0.680000000000291,2.75,0.25,0.020000000000436557,0.6000000000003638,1.0499999999992724,0,0.46999999999934516,1.1599999999998545,0,0.5900000000001455,0.930000000000291,0.9799999999995634,0.6600000000016735,0.7399999999997817,0
