entity_id,type,unit,2025-10-01T22:00:00.000Z,2025-10-01T23:00:00.000Z,2025-10-02T00:00:00.000Z,2025-10-02T01:00:00.000Z,2025-10-02T02:00:00.000Z,2025-10-02T03:00:00.000Z,2025-10-02T04:00:00.000Z,2025-10-02T05:00:00.000Z,2025-10-02T06:00:00.000Z,2025-10-02T07:00:00.000Z,2025-10-02T08:00:00.000Z,2025-10-02T09:00:00.000Z,2025-10-02T10:00:00.000Z,2025-10-02T11:00:00.000Z,2025-10-02T12:00:00.000Z,2025-10-02T13:00:00.000Z,2025-10-02T14:00:00.000Z,2025-10-02T15:00:00.000Z,2025-10-02T16:00:00.000Z,2025-10-02T17:00:00.000Z,2025-10-02T18:00:00.000Z,2025-10-02T19:00:00.000Z,2025-10-02T20:00:00.000Z,2025-10-02T21:00:00.000Z
sensor.netznutzung_kwh,grid_consumption,kWh,0.15999999999985448,1.4900000000016007,0.19999999999708962,0.17000000000189175,0.9799999999995634,2.5,0.32999999999810825,1.5100000000020373,0.41999999999825377,0,0.05000000000291038,0,0,0,0,0,0.48999999999796273,0.7099999999991269,0.17000000000189175,1.7799999999988358,1.0300000000024738,0.48999999999796273,1.6199999999989814,0.21000000000276486
sensor.netznutzung_kwh_cost,grid_consumption_cost,CHF,0.037535999998908665,0.34955400000035297,0.0469199999997727,0.03988200000003417,0.22990799999934097,0.586499999998523,0.07741800000167132,0.4326150000006237,0.12032999999973981,0,0.014325000001008448,0,0,0,0,0,0.14038499999969645,0.20341499999994994,0.04870500000015454,0.5099700000009761,0.24163800000042102,0.1149539999978515,0.3800519999995231,0.04926600000271719
sensor.netzeinspeisung_kwh,grid_return,kWh,0,0,0,0,0,0,0,0.010000000000218279,0.5799999999999272,2.0200000000004366,3.7700000000004366,8.989999999999782,10.909999999999854,12.979999999999563,9.770000000000437,4.6200000000008,0.7099999999991269,0.2999999999992724,0.1400000000012369,0,0,0,0,0
sensor.netzeinspeisung_kwh_compensation,grid_return_compensation,CHF,0,0,0,0,0,0,0,0.0011400000000776345,0.0661200000001827,0.23027999999908388,0.42977999999925487,1.0248599999981707,1.2437399999996614,1.4797200000009525,1.113779999999906,0.5266799999981231,0.08094000000005508,0.034199999999827924,0.015960000000177388,0,0,0,0,0
sensor.sma_st_80_pv_gen_meter,solar_production,kWh,0,0,0,0,0,0,0,0.04799999999886495,0.4690000000009604,1.032999999999447,1.7229999999981374,4.816000000002532,6.014999999999418,5.629000000000815,4.8769999999967695,3.27900000000227,0.5829999999987194,0.27800000000206637,0.11999999999898137,0,0,0,0,0
sensor.sungrow_sg12rt_total_yield,solar_production,kWh,0,0,0,0,0,0,0,0,1,2,3,5,7,8,7,3,0,1,0,0,0,0,0,0
sensor.ladeschalterpassat_switch_0_energy,device_consumption,kWh,0.0010149999999384818,0.001008000000069842,0.001015999999935957,0.0010230000000319706,0.0010129999999435313,0.0010090000000673172,0.0010039999999662541,0.0010100000000647924,0.0010209999999233332,0.0010260000000243963,0.001025000000026921,0.0010310000000117725,0.0010359999999991487,0.001033000000006723,0.001036999999996624,0.0010359999999991487,0.001029000000016822,0.001019999999925858,0.0010140000000546934,0.0010099999999511056,0.0010110000000622676,0.001015999999935957,0.0010140000000546934,0.0010179999999309075
sensor.tesla_verbrauch,device_consumption,kWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sensor.heizung_verbrauch_kwh,device_consumption,kWh,0,1.3699999999989814,0,0,0.8400000000001455,1.860000000000582,0,1.2099999999991269,1.360000000000582,0.7000000000007276,0.8399999999983265,0.1400000000012369,1.9599999999991269,0.42000000000007276,1.140000000001237,0.08999999999832653,0.7100000000009459,0.8899999999994179,0.11000000000058208,1.2199999999993452,0.4400000000005093,0,1.3999999999996362,0
