entity_id,type,unit,2025-09-01T22:00:00.000Z,2025-09-01T23:00:00.000Z,2025-09-02T00:00:00.000Z,2025-09-02T01:00:00.000Z,2025-09-02T02:00:00.000Z,2025-09-02T03:00:00.000Z,2025-09-02T04:00:00.000Z,2025-09-02T05:00:00.000Z,2025-09-02T06:00:00.000Z,2025-09-02T07:00:00.000Z,2025-09-02T08:00:00.000Z,2025-09-02T09:00:00.000Z,2025-09-02T10:00:00.000Z,2025-09-02T11:00:00.000Z,2025-09-02T12:00:00.000Z,2025-09-02T13:00:00.000Z,2025-09-02T14:00:00.000Z,2025-09-02T15:00:00.000Z,2025-09-02T16:00:00.000Z,2025-09-02T17:00:00.000Z,2025-09-02T18:00:00.000Z,2025-09-02T19:00:00.000Z,2025-09-02T20:00:00.000Z,2025-09-02T21:00:00.000Z
sensor.netznutzung_kwh,grid_consumption,kWh,1.5399999999972351,0.4400000000023283,0.4599999999991269,0.4099999999998545,0.48999999999796273,0.43000000000029104,1.8800000000010186,0.4099999999998545,0.3600000000005821,0.029999999998835847,0,0,0,0,0,0,0.26000000000203727,1.4099999999998545,4.360000000000582,0.6699999999982538,0.4500000000007276,0.6100000000005821,1.6599999999998545,0.25
sensor.netznutzung_kwh_cost,grid_consumption_cost,CHF,0.36128399999870453,0.10322400000131893,0.10791599999993196,0.09618600000248989,0.11495399999967049,0.10087799999928393,0.44104799999968236,0.11746500000117521,0.10314000000016676,0.008594999999331776,0,0,0,0,0,0,0.07448999999905936,0.4039649999995163,1.2491399999998976,0.1919549999975061,0.10556999999971595,0.1431060000022626,0.38943599999947764,0.05865000000176224
sensor.netzeinspeisung_kwh,grid_return,kWh,0,0,0,0,0,0,0,0.13999999999941792,1.6600000000016735,3.7299999999995634,4.949999999998909,6.180000000000291,9.140000000001237,9.839999999998327,9.390000000001237,6.0900000000001455,2,0.1000000000003638,0.00999999999839929,0.07999999999992724,0,0,0,0
sensor.netzeinspeisung_kwh_compensation,grid_return_compensation,CHF,0,0,0,0,0,0,0,0.015959999999950014,0.18924000000060914,0.4252200000000812,0.5642999999995482,0.7045199999997749,1.0419600000000173,1.12175999999954,1.0704599999996844,0.6942599999997583,0.22800000000006548,0.01139999999986685,0.0011399999998502608,0.009120000000166328,0,0,0,0
sensor.sma_st_80_pv_gen_meter,solar_production,kWh,0,0,0,0,0,0,0,0.19199999999909778,1.364000000001397,2.0639999999984866,2.122000000003027,2.7330000000001746,3.7339999999967404,3.8880000000026484,3.503999999997177,2.8590000000003783,2.691000000002532,0.5229999999974098,0.33000000000174623,0.13000000000101863,0,0,0,0
sensor.sungrow_sg12rt_total_yield,solar_production,kWh,0,0,0,0,0,0,0,0,2,3,4,5,7,7,7,4,3,2,1,0,0,0,0,0
sensor.ladeschalterpassat_switch_0_energy,device_consumption,kWh,0.001023999999915759,0.0010280000000193468,0.0010270000000218715,0.0010320000000092477,0.0010310000000117725,0.0010200000000395448,0.0010169999999334323,0.0010160000000496439,0.0010259999999107094,0.0010260000000243963,0.0010270000000218715,0.0010300000000142973,0.0010379999999940992,0.0010359999999991487,0.001040999999986525,0.0010389999999915744,1.3963870000000043,1.8162210000000414,1.567399000000023,0.0010399999999890497,0.0010359999999991487,0.0010379999999940992,0.0010429999999814754,0.001036999999996624
sensor.tesla_verbrauch,device_consumption,kWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sensor.heizung_verbrauch_kwh,device_consumption,kWh,1.069999999999709,0,0,0,0,0,1.1900000000005093,0.09000000000014552,0.8099999999994907,0.8000000000010914,0.7999999999992724,0.7900000000008731,0.7099999999991269,0.7900000000008731,0.7099999999991269,0.819999999999709,1.1000000000003638,0.7200000000011642,1.5399999999990541,0.12000000000080036,0.09999999999854481,0,1.2200000000011642,0
