entity_id,state,last_changed
sensor.netznutzung_kwh,5345.41,2024-01-04T15:00:00.000Z
sensor.netznutzung_kwh,5346.96,2024-01-04T16:00:00.000Z
sensor.netznutzung_kwh,5348.35,2024-01-04T17:00:00.000Z
sensor.netznutzung_kwh,5350.64,2024-01-04T18:00:00.000Z
sensor.netznutzung_kwh,5351.58,2024-01-04T19:00:00.000Z
sensor.netznutzung_kwh,5353.72,2024-01-04T20:00:00.000Z
sensor.netznutzung_kwh,5359.17,2024-01-04T21:00:00.000Z
sensor.netznutzung_kwh,5367.18,2024-01-04T22:00:00.000Z
sensor.netznutzung_kwh,5373.71,2024-01-04T23:00:00.000Z
sensor.netznutzung_kwh,5376.79,2024-01-05T00:00:00.000Z
sensor.netznutzung_kwh,5379.81,2024-01-05T01:00:00.000Z
sensor.netznutzung_kwh,5382.88,2024-01-05T02:00:00.000Z
sensor.netznutzung_kwh,5384.03,2024-01-05T03:00:00.000Z
sensor.netznutzung_kwh,5385.1,2024-01-05T04:00:00.000Z
sensor.netznutzung_kwh,5386.53,2024-01-05T05:00:00.000Z
sensor.netznutzung_kwh,5389.01,2024-01-05T06:00:00.000Z
sensor.netznutzung_kwh,5390.87,2024-01-05T07:00:00.000Z
sensor.netznutzung_kwh,5393.03,2024-01-05T08:00:00.000Z
sensor.netznutzung_kwh,5395.52,2024-01-05T09:00:00.000Z
sensor.netznutzung_kwh,5397.98,2024-01-05T10:00:00.000Z
sensor.netznutzung_kwh,5399.79,2024-01-05T11:00:00.000Z
sensor.netznutzung_kwh,5401.1,2024-01-05T12:00:00.000Z
sensor.netznutzung_kwh,5402.74,2024-01-05T13:00:00.000Z
sensor.netznutzung_kwh,5404.7,2024-01-05T14:00:00.000Z
sensor.netznutzung_kwh,5406.97,2024-01-05T15:00:00.000Z
sensor.netznutzung_kwh,5409.19,2024-01-05T16:00:00.000Z
sensor.netznutzung_kwh,5411.28,2024-01-05T17:00:00.000Z
sensor.netznutzung_kwh,5414.35,2024-01-05T18:00:00.000Z
sensor.netznutzung_kwh,5416.79,2024-01-05T19:00:00.000Z
sensor.netznutzung_kwh,5418.94,2024-01-05T20:00:00.000Z
sensor.netznutzung_kwh,5422.99,2024-01-05T21:00:00.000Z
sensor.netznutzung_kwh,5426.1,2024-01-05T22:00:00.000Z
sensor.netznutzung_kwh,5428.52,2024-01-05T23:00:00.000Z
sensor.netznutzung_kwh,5429.48,2024-01-06T00:00:00.000Z
sensor.netznutzung_kwh,5430.94,2024-01-06T01:00:00.000Z
sensor.netznutzung_kwh,5432.01,2024-01-06T02:00:00.000Z
sensor.netznutzung_kwh,5433.03,2024-01-06T03:00:00.000Z
sensor.netznutzung_kwh,5434.54,2024-01-06T04:00:00.000Z
sensor.netznutzung_kwh,5435.44,2024-01-06T05:00:00.000Z
sensor.netznutzung_kwh,5436.99,2024-01-06T06:00:00.000Z
sensor.netznutzung_kwh,5439.49,2024-01-06T07:00:00.000Z
sensor.netznutzung_kwh,5441.77,2024-01-06T08:00:00.000Z
sensor.netznutzung_kwh,5442.89,2024-01-06T09:00:00.000Z
sensor.netznutzung_kwh,5443.75,2024-01-06T10:00:00.000Z
sensor.netznutzung_kwh,5445.56,2024-01-06T11:00:00.000Z
sensor.netznutzung_kwh,5451.68,2024-01-06T12:00:00.000Z
sensor.netznutzung_kwh,5454.01,2024-01-06T13:00:00.000Z
sensor.netznutzung_kwh,5455.66,2024-01-06T14:00:00.000Z
sensor.netznutzung_kwh,5457.51,2024-01-06T15:00:00.000Z
sensor.netznutzung_kwh,5459.06,2024-01-06T16:00:00.000Z
sensor.netznutzung_kwh,5460.34,2024-01-06T17:00:00.000Z
sensor.netznutzung_kwh,5461.45,2024-01-06T18:00:00.000Z
sensor.netznutzung_kwh,5462.94,2024-01-06T19:00:00.000Z
sensor.netznutzung_kwh,5464.32,2024-01-06T20:00:00.000Z
sensor.netznutzung_kwh,5465.74,2024-01-06T21:00:00.000Z
sensor.netznutzung_kwh,5469.08,2024-01-06T22:00:00.000Z
sensor.netznutzung_kwh,5472.65,2024-01-06T23:00:00.000Z
sensor.netznutzung_kwh,5475.86,2024-01-07T00:00:00.000Z
sensor.netznutzung_kwh,5478.67,2024-01-07T01:00:00.000Z
sensor.netznutzung_kwh,5480.93,2024-01-07T02:00:00.000Z
sensor.netznutzung_kwh,5482.29,2024-01-07T03:00:00.000Z
sensor.netznutzung_kwh,5483.58,2024-01-07T04:00:00.000Z
sensor.netznutzung_kwh,5484.92,2024-01-07T05:00:00.000Z
sensor.netznutzung_kwh,5486.68,2024-01-07T06:00:00.000Z
sensor.netznutzung_kwh,5489.36,2024-01-07T07:00:00.000Z
sensor.netznutzung_kwh,5490.75,2024-01-07T08:00:00.000Z
sensor.netznutzung_kwh,5491.9,2024-01-07T09:00:00.000Z
sensor.netznutzung_kwh,5492.71,2024-01-07T10:00:00.000Z
sensor.netznutzung_kwh,5493.63,2024-01-07T11:00:00.000Z
sensor.netznutzung_kwh,5494.6,2024-01-07T12:00:00.000Z
sensor.netznutzung_kwh,5495.76,2024-01-07T13:00:00.000Z
sensor.netznutzung_kwh,5497.17,2024-01-07T14:00:00.000Z
sensor.netznutzung_kwh,5498.86,2024-01-07T15:00:00.000Z
sensor.netznutzung_kwh,5500,2024-01-07T16:00:00.000Z
sensor.netznutzung_kwh,5501.21,2024-01-07T17:00:00.000Z
sensor.netznutzung_kwh,5503.3,2024-01-07T18:00:00.000Z
